Kakamega Airport,Kakamega,Africa/Nairobi
Kisumu Airport,Kisumu,Africa/Nairobi
Kitale Airport,Kitale,Africa/Nairobi
Lodwar Airport,Lodwar,Africa/Nairobi
Manda Airstrip,Lamu,Africa/Nairobi
Mombasa Moi International Airport,Mombasa,Africa/Nairobi
Naivasha Airport,Naivasha,Africa/Nairobi
Nairobi Wilson Airport,Nairobi,Africa/Nairobi
Moi Air Base,Nairobi,Africa/Nairobi
Wajir Airport,Wajir,Africa/Nairobi
Bu Attifel Airport,Buattifel,Africa/Tripoli
Warehouse 59e Airport,Giallo,Africa/Tripoli
Ghat Airport,Ghat,Africa/Tripoli
Kufra Airport,Kufra,Africa/Tripoli
Benina International Airport,Benghazi,Africa/Tripoli
Sabha Airport,Sebha,Africa/Tripoli
Tripoli International Airport,Tripoli,Africa/Tripoli
Marsa Brega Airport,Marsa Brega,Africa/Tripoli
Ras Lanuf Oil Airport,Ras Lanouf V 40,Africa/Tripoli
Hon Airport,Hon,Africa/Tripoli
Dahra Airport,Dahra,Africa/Tripoli
Ghadames East Airport,Ghadames,Africa/Tripoli
Zella 74 Airport,Zella 74,Africa/Tripoli
Gisenyi Airport,Gisenyi,Africa/Kigali
Kigali International Airport,Kigali,Africa/Kigali
Kamembe Airport,Kamembe,Africa/Kigali
Dongola Airport,Dongola,Africa/Khartoum
Damazin Airport,Damazin,Africa/Khartoum
El Fasher Airport,El Fasher,Africa/Khartoum
Kassala Airport,Kassala,Africa/Khartoum
Kadugli Airport,Kadugli,Africa/Khartoum
El Obeid Airport,El Obeid,Africa/Khartoum
Juba International Airport,Juba,Africa/Juba
Malakal Airport,Malakal,Africa/Juba
Khartoum International Airport,Khartoum,Africa/Khartoum
Arusha Airport,Arusha,Africa/Dar_es_Salaam
Julius Nyerere International Airport,Dar Es Salaam,Africa/Dar_es_Salaam
Dodoma Airport,Dodoma,Africa/Dar_es_Salaam
Iringa Airport,Iringa,Africa/Dar_es_Salaam
Kilimanjaro International Airport,Kilimanjaro,Africa/Dar_es_Salaam
Lake Manyara Airport,Lake Manyara,Africa/Dar_es_Salaam
Mtwara Airport,Mtwara,Africa/Dar_es_Salaam
Mwanza Airport,Mwanza,Africa/Dar_es_Salaam
Pemba Airport,Pemba,Africa/Dar_es_Salaam
Tanga Airport,Tanga,Africa/Dar_es_Salaam
Abeid Amani Karume International Airport,Zanzibar,Africa/Dar_es_Salaam
Entebbe International Airport,Entebbe,Africa/Kampala
Soroti Airport,Soroti,Africa/Kampala
Borg El Arab International Airport,Alexandria,Africa/Cairo
Assab International Airport,Assab,Africa/Asmera
Asmara International Airport,Asmara,Africa/Asmera
Massawa International Airport,Massawa,Africa/Asmera
Sharm El Sheikh International Airport,Sharm El Sheikh,Africa/Cairo
Jomo Kenyatta International Airport,Nairobi,Africa/Nairobi
Seronera Airport,Seronera,Africa/Dar_es_Salaam
Hosea Kutako International Airport,Windhoek,Africa/Windhoek
Djibouti-Ambouli Airport,Djibouti,Africa/Djibouti
Mafia Island Airport,Mafia Island,Africa/Dar_es_Salaam
Yaoundé Nsimalen International Airport,Yaounde,Africa/Douala
Conakry International Airport,Conakry,Africa/Conakry
Marsa Alam International Airport,Marsa Alam,Africa/Cairo
Gounda Airport,Gounda,Africa/Bangui
Taba International Airport,Taba,Africa/Cairo
Tabarka 7 Novembre Airport,Tabarka,Africa/Tunis
Batna Airport,Batna,Africa/Algiers
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Africa/Algiers
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Africa/Algiers
Guemar Airport,Guemar,Africa/Algiers
Kumasi Airport,Kumasi,Africa/Accra
Shilavo Airport,Shilavo,Africa/Addis_Ababa
Shire Inda Selassie Airport,Shire Indasilase,Africa/Addis_Ababa
Rand Airport,Johannesburg,Africa/Johannesburg
Kruger Mpumalanga International Airport,Mpumalanga,Africa/Johannesburg
Malamala Airport,Malamala,Africa/Johannesburg
Mmabatho International Airport,Mafeking,Africa/Johannesburg
Ghanzi Airport,Ghanzi,Africa/Gaborone
Orapa Airport,Orapa,Africa/Gaborone
Shakawe Airport,Shakawe,Africa/Gaborone
Limpopo Valley Airport,Tuli Lodge,Africa/Gaborone
Ngot Nzoungou Airport,Loubomo,Africa/Brazzaville
Chipata Airport,Chipata,Africa/Lusaka
Catumbela Airport,Catumbela,Africa/Luanda
Dundo Airport,Dundo,Africa/Luanda
Ngjiva Pereira Airport,Ondjiva,Africa/Luanda
Namibe Airport,Mocamedes,Africa/Luanda
Koulamoutou Mabimbi Airport,Koulamoutou,Africa/Libreville
Mouilla Ville Airport,Mouila,Africa/Libreville
Tchibanga Airport,Tchibanga,Africa/Libreville
Chimoio Airport,Chimoio,Africa/Maputo
Sarh Airport,Sarh,Africa/Ndjamena
Club Makokola Airport,Club Makokola,Africa/Blantyre
Luderitz Airport,Luderitz,Africa/Windhoek
Ondangwa Airport,Ondangwa,Africa/Windhoek
Oranjemund Airport,Oranjemund,Africa/Windhoek
Swakopmund Airport,Swakopmund,Africa/Windhoek
Eros Airport,Windhoek,Africa/Windhoek
Boma Airport,Boma,Africa/Kinshasa
Tshimpi Airport,Matadi,Africa/Kinshasa
Inongo Airport,Inongo,Africa/Kinshasa
